checksum,dataset_version,manifest_digest,metric_definition,model,plotted_values,run_id,sample_count,source_checksums,source_kind,source_run_ids,split,suite_id,uncertainty_method,unit,value,metric
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":1.0}",jev-assisted-20260925,96,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,guardrails,paired_state_cluster_bootstrap_20000_seed_42,fraction,1.0,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.2916666666666667}",qwen-assisted-20260925,96,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,guardrails,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.2916666666666667,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.5583333333333333}",laya-assisted-20260925-5,120,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,mnli,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.5583333333333333,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":0.8666666666666667}",jev-assisted-20260925,120,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,mnli,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.8666666666666667,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.3416666666666667}",qwen-assisted-20260925,120,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,mnli,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.3416666666666667,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.7569444444444444}",laya-assisted-20260925-5,144,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,moderation,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.7569444444444444,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":0.9444444444444444}",jev-assisted-20260925,144,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,moderation,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.9444444444444444,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.7291666666666666}",qwen-assisted-20260925,144,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,moderation,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.7291666666666666,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.45}",laya-assisted-20260925-5,120,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.45,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":1.0}",jev-assisted-20260925,120,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,1.0,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.6833333333333333}",qwen-assisted-20260925,120,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,multilingual_intent,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.6833333333333333,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.3333333333333333}",laya-assisted-20260925-5,120,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,sst5,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.3333333333333333,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":0.65}",jev-assisted-20260925,120,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,sst5,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.65,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.525}",qwen-assisted-20260925,120,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,sst5,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.525,accuracy
baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,laya,"{""value"":0.875}",laya-assisted-20260925-5,192,"[""baaf56782282c0b45a1a515c0a188052d55b0fb67245c2ae011344ed1ea82fc7""]",base,"[""laya-assisted-20260925-5""]",evaluation,triage,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.875,accuracy
1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,jev,"{""value"":0.9322916666666666}",jev-assisted-20260925,192,"[""1b40cc74031daf1dea731c33433f91c77c62547596fc2c46ce559ec2f002c58e""]",base,"[""jev-assisted-20260925""]",evaluation,triage,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.9322916666666666,accuracy
cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb,2.0.0,4272a7a25ebcb324235696ad808544e157a31e3f9c04421da731a08dfb9d5768,Micro accuracy across reviewed decisions in the evaluation split,qwen-pcd,"{""value"":0.78125}",qwen-assisted-20260925,192,"[""cd8c9a301e9f54c0dbff87a23c33ee786996caa21ffd6be956074c40d53ebfcb""]",base,"[""qwen-assisted-20260925""]",evaluation,triage,paired_state_cluster_bootstrap_20000_seed_42,fraction,0.78125,accuracy
